video_time_s,main_2300_2700_hz,chirp_2880_3060_hz
5.095000,0.004676952,0.000483468
5.097000,0.004048242,0.000283527
5.099000,0.003203498,0.000082048
5.101000,0.003220859,0.000219685
5.103000,0.002821682,0.000400145
5.105000,0.002258044,0.000527120
5.107000,0.002033790,0.000589818
5.109000,0.007808656,0.000570417
5.111000,0.014659583,0.000427002
5.113000,0.018173431,0.000207624
5.115000,0.018691335,0.000047643
5.117000,0.017722481,0.000101947
5.119000,0.017279061,0.000132292
5.121000,0.020373863,0.000113095
5.123000,0.023113745,0.000059453
5.125000,0.023498542,0.000027973
5.127000,0.021813333,0.000022728
5.129000,0.021086587,0.000013451
5.131000,0.022789600,0.000008531
5.133000,0.023783967,0.000007492
5.135000,0.023836208,0.000003956
5.137000,0.024396937,0.000007156
5.139000,0.025590741,0.000003326
5.141000,0.025879952,0.000013803
5.143000,0.025130684,0.000019889
5.145000,0.023817031,0.000010994
5.147000,0.022013744,0.000046906
5.149000,0.022144965,0.000055464
5.151000,0.022941145,0.000118711
5.153000,0.023226971,0.000442309
5.155000,0.023122119,0.000850874
5.157000,0.019636682,0.001091214
5.159000,0.012340107,0.001008470
5.161000,0.005826696,0.000733137
5.163000,0.004308904,0.000487606
5.165000,0.006161582,0.000320108
5.167000,0.009036209,0.000490888
5.169000,0.008630398,0.000660439
5.171000,0.005680763,0.000503169
5.173000,0.003361800,0.000169089
5.175000,0.004803364,0.000300174
5.177000,0.006707141,0.000350984
5.179000,0.006072554,0.000255424
5.181000,0.004889490,0.000208850
5.183000,0.003926939,0.000144435
5.185000,0.003854297,0.000083633
5.187000,0.002317450,0.000068223
5.189000,0.002521608,0.000025720
5.191000,0.003493367,0.000083014
5.193000,0.002669060,0.000118887
5.195000,0.003485040,0.000124342
5.197000,0.003753272,0.000165429
5.199000,0.002701556,0.000260635
5.201000,0.002564524,0.000260033
5.203000,0.001344097,0.000315550
5.205000,0.004258916,0.000680481
5.207000,0.009378513,0.000865409
5.209000,0.016563254,0.000676446
5.211000,0.020736387,0.000346148
5.213000,0.020044794,0.000377543
5.215000,0.016956744,0.000505296
5.217000,0.015249108,0.000451126
5.219000,0.018361163,0.000252150
5.221000,0.020612338,0.000067301
5.223000,0.020328408,0.000110143
5.225000,0.019831113,0.000124021
5.227000,0.021374662,0.000094740
5.229000,0.022699465,0.000053326
5.231000,0.022266615,0.000021475
5.233000,0.022763271,0.000012902
5.235000,0.023466811,0.000008618
5.237000,0.023677290,0.000005069
5.239000,0.022519262,0.000003872
5.241000,0.022683895,0.000002109
5.243000,0.022769196,0.000001620
5.245000,0.023380854,0.000002368
5.247000,0.024264756,0.000001679
5.249000,0.025001163,0.000001286
5.251000,0.025084812,0.000003142
5.253000,0.024824879,0.000003624
5.255000,0.024389081,0.000002459
5.257000,0.023757559,0.000000886
5.259000,0.023328976,0.000000245
5.261000,0.022969913,0.000000416
5.263000,0.023029948,0.000000719
5.265000,0.023468840,0.000000665
